listing_id,property_type,city,region,price,created_at,updated_at
DE-10001,Studio,Berlin,Neukölln,,2025-09-25 10:00:00,2025-10-10 10:00:00
DE-10002,Parking,München,Schwabing,32379.0,2024-05-28 22:00:00,2024-06-10 22:00:00
DE-10003,Parking,Hamburg,Wandsbek,15816.0,2024-07-30 17:00:00,2024-09-13 17:00:00
DE-10004,House,Hamburg,Wandsbek,2043643.0,2024-09-07 16:00:00,2024-10-05 16:00:00
DE-10005,Studio,München,Schwabing,770422.0,2025-03-06 18:00:00,2025-03-26 18:00:00
DE-10006,Office,München,Schwabing,559022.0,2025-11-02 04:00:00,2025-11-22 04:00:00
DE-10007,Apartment,Berlin,Charlottenburg,451042.0,2025-08-06 15:00:00,2025-09-12 15:00:00
DE-10008,House,München,Schwabing,2904848.0,2025-09-02 22:00:00,2025-10-08 22:00:00
DE-10009,Office,Berlin,Mitte,174349.0,2025-01-14 04:00:00,2025-02-28 04:00:00
DE-10010,House,Berlin,Kreuzberg,1486675.0,2024-04-26 13:00:00,2024-05-18 13:00:00
DE-10011,Parking,München,Bogenhausen,55556.0,2025-12-06 02:00:00,2025-12-24 02:00:00
DE-10012,Office,München,Altstadt-Lehel,747709.0,2025-05-21 04:00:00,2025-07-04 04:00:00
DE-10013,Office,München,Altstadt-Lehel,,2025-10-10 00:00:00,2025-11-07 00:00:00
DE-10014,House,Berlin,Kreuzberg,2671041.0,2025-04-16 04:00:00,2025-05-27 04:00:00
DE-10015,Parking,Berlin,Pankow,,2025-06-25 22:00:00,2025-08-06 22:00:00
DE-10016,Office,Berlin,Kreuzberg,498735.0,2024-08-12 21:00:00,2024-08-18 21:00:00
DE-10017,Villa,Berlin,Pankow,698995.0,2025-01-09 11:00:00,2025-01-11 11:00:00
DE-10018,House,München,Altstadt-Lehel,1414419.0,2024-01-07 20:00:00,2024-02-11 20:00:00
DE-10019,Apartment,München,Bogenhausen,320501.0,2024-08-04 17:00:00,2024-07-25 17:00:00
DE-10020,Office,München,Maxvorstadt,786698.0,2024-08-08 04:00:00,2024-09-02 04:00:00
DE-10021,House,Hamburg,Nord,1678361.0,2026-02-07 12:00:00,2026-03-03 12:00:00
DE-10022,House,München,Schwabing,,2025-12-16 12:00:00,2026-01-27 12:00:00
DE-10023,Parking,Berlin,Pankow,46477.0,2024-05-05 01:00:00,2024-06-13 01:00:00
DE-10024,Apartment,München,Altstadt-Lehel,738898.0,2024-10-23 08:00:00,2024-11-17 08:00:00
DE-10025,House,München,Bogenhausen,,2025-05-16 16:00:00,2025-06-16 16:00:00
DE-10026,Studio,München,Schwabing,428024.0,2024-06-10 14:00:00,2024-07-04 14:00:00
DE-10027,Parking,München,Altstadt-Lehel,59920.0,2025-06-10 12:00:00,2025-06-29 12:00:00
DE-10028,Studio,Berlin,Neukölln,221936.0,2025-11-23 11:00:00,2025-12-07 11:00:00
DE-10029,Parking,Berlin,Neukölln,40682.0,2025-11-28 14:00:00,2025-12-14 14:00:00
DE-10030,Parking,Hamburg,Altona,39501.0,2024-09-18 07:00:00,2024-10-26 07:00:00
DE-10031,Villa,Berlin,Charlottenburg,2837330.0,2024-07-26 07:00:00,2024-08-11 07:00:00
DE-10032,Studio,München,Maxvorstadt,377072.0,2025-07-10 12:00:00,2025-08-01 12:00:00
DE-10033,Apartment,München,Altstadt-Lehel,779106.0,2024-12-12 23:00:00,2024-12-27 23:00:00
DE-10034,Apartment,München,Altstadt-Lehel,680509.0,2025-07-23 12:00:00,2025-07-30 12:00:00
DE-10035,Studio,Berlin,Pankow,228762.0,2024-04-17 08:00:00,2024-05-02 08:00:00
DE-10036,House,München,Altstadt-Lehel,-50000.0,2024-03-25 12:00:00,2024-04-10 12:00:00
DE-10037,Office,Berlin,Kreuzberg,515412.0,2025-10-12 18:00:00,2025-11-02 18:00:00
DE-10038,House,Berlin,Charlottenburg,3317357.0,2026-02-07 14:00:00,2026-03-18 14:00:00
DE-10039,House,Berlin,Neukölln,1175952.0,2025-10-25 12:00:00,2025-12-08 12:00:00
DE-10040,Villa,München,Maxvorstadt,1184182.0,2024-08-08 07:00:00,2024-07-29 07:00:00
DE-10041,Studio,München,Bogenhausen,308835.0,2026-01-18 04:00:00,2026-01-23 04:00:00
DE-10042,Villa,Hamburg,Eimsbüttel,1081697.0,2025-10-18 05:00:00,2025-12-01 05:00:00
